METER_ID,VENDOR,PAY_POLICY,PRE_PAY,PARK_NO_PAY,GREEN_DOME,TOW_AWAY,STREET_CLEANING,DIR,BLK_NO,STREET,LOCK_,LOCK__,LONGITUDE,LATITUDE,TRAVEL_DIRECTION,FROM_INTERSECTION,TO_INTERSECTION,SPACE_NUMBER,NUMBEROFSPACES,METER_TYPE,HAS_SENSOR,G_DISTRICT,G_PASSPORT_ZONES,G_PM_ZONE,G_SUBZONE,G_ZONE,BASE_RATE,POLE_MOUNT,YOKE,HOUSING_TYPE,HOUSING_MANUFACTURER,SIDEWALKGE,COIN_SLOTLE,METER_CONDITION,PERMIT_RATE,INSTALLED_ON,PURCHASED_DATE,METER_STATE,SPACE_STATE,shape_wkt,POINT_X,POINT_Y
450040,Parkeon,08:00AM-08:00PM MON-FRI $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-FRI, 00:00AM-24:00AM SAT, 08:00PM-24:00AM MON-FRI",,,,S,FAIR,NEWBURY ST F-G,1,,-71.083408000000006,42.349293000000003,,,,40,1,MULTI-SPACE STALL,NO,DISTRICT 0,,902,0MS,MS,0.250000000000000,,,,,,,,,1/1/2017 12:00:00 AM,,ACTIVE,ACTIVE,POINT (-71.083407999999963 42.349293000000046),-71.083407999999963,42.349293000000046
450041,Parkeon,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,N,MASS,BOYLSTON ST M-H,1,,-71.086414000000005,42.347731000000003,,,,41,1,MULTI-SPACE STALL,NO,DISTRICT 0,,903,0MS,MS,0.250000000000000,,,,,,,,,1/1/2017 12:00:00 AM,,ACTIVE,ACTIVE,POINT (-71.086413999999934 42.347731000000067),-71.086413999999934,42.347731000000067
450042,Parkeon,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,W,NEWB,GLOUCESTER ST N-B,1,,-71.083806999999993,42.348681999999997,,,,42,1,MULTI-SPACE STALL,NO,DISTRICT 0,,904,0MS,MS,0.250000000000000,,,,,,,,,1/1/2017 12:00:00 AM,,ACTIVE,ACTIVE,POINT (-71.083806999999979 42.348682000000053),-71.083806999999979,42.348682000000053
450043,Parkeon,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,W,BOYL,HEREFORD ST B-N,1,,-71.085606999999996,42.348511999999999,,,,43,1,MULTI-SPACE STALL,NO,DISTRICT 0,,905,0MS,MS,0.250000000000000,,,,,,,,,1/1/2017 12:00:00 AM,,ACTIVE,ACTIVE,POINT (-71.085606999999982 42.348512000000028),-71.085606999999982,42.348512000000028
450044,Parkeon,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,S,GLOU,NEWBURY ST G-H,1,,-71.084624000000005,42.348964000000002,,,,44,1,MULTI-SPACE STALL,NO,DISTRICT 0,,906,0MS,MS,0.250000000000000,,,,,,,,,1/1/2017 12:00:00 AM,,ACTIVE,ACTIVE,POINT (-71.084623999999963 42.34896400000008),-71.084623999999963,42.348964000000080
450045,Parkeon,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,N,HERE,BOYLSTON ST H-G,1,,-71.084547999999998,42.348204000000003,,,,45,1,MULTI-SPACE STALL,NO,DISTRICT 0,,,0MS,MS,0.250000000000000,,,,,,,,,1/1/2017 12:00:00 AM,,ACTIVE,ACTIVE,POINT (-71.084547999999984 42.348204000000067),-71.084547999999984,42.348204000000067
450046,Parkeon,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,S,GLOU,NEWBURY ST G-H,1,,-71.085121000000001,42.348826000000003,,,,46,1,MULTI-SPACE STALL,NO,DISTRICT 0,,,0MS,MS,0.250000000000000,,,,,,,,,1/1/2017 12:00:00 AM,,ACTIVE,ACTIVE,POINT (-71.085121000999948 42.348826000000031),-71.085121000999948,42.348826000000031
450047,Parkeon,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,N,HERE,BOYLSTON ST H-G,1,,-71.085082999999997,42.348059999999997,,,,47,1,MULTI-SPACE STALL,NO,DISTRICT 0,,907,0MS,MS,0.250000000000000,,,,,,,,,1/1/2017 12:00:00 AM,,ACTIVE,ACTIVE,POINT (-71.085082999999941 42.348060000000032),-71.085082999999941,42.348060000000032
450048,Parkeon,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,E,BOYL,HEREFORD ST B-N,1,,-71.085286999999994,42.348247000000001,,,,48,1,MULTI-SPACE STALL,NO,DISTRICT 0,,908,0MS,MS,0.250000000000000,,,,,,,,,1/1/2017 12:00:00 AM,,ACTIVE,ACTIVE,POINT (-71.085286999999937 42.348247000000072),-71.085286999999937,42.348247000000072
450049,Parkeon,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,E,NEWB,GLOUCESTER ST N-B,1,,-71.083983000000003,42.348717000000001,,,,49,1,MULTI-SPACE STALL,NO,DISTRICT 0,,14,0MS,MS,0.250000000000000,,,,,,,,,1/1/2017 12:00:00 AM,,ACTIVE,ACTIVE,POINT (-71.083982998999943 42.348717000000079),-71.083982998999943,42.348717000000079
